self_brand,compatibility_category,classification_basis,detected_brands,compatibility_brands,source_brands,title,product_brand,source_url,compatibility
Acer,self-only,compatible-models,Acer,Acer,Acer | Asus,Acer Display 18010-15652800 15.6 in 1366x768 / HD 30-pin eDP,Acer,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18010-15652800-69578678,"Panel part numbers: 18010-15652800. Compatible laptop models: Acer Extensa 15 (EX215-52), Acer Aspire 5 (A515-56), Acer Aspire 1 (A115-22), Acer Aspire 5 (A515-44), Acer Aspire 5 (A515-52G), Acer Aspire 5 (A515-52), Acer Aspire 1 (A115-31), Acer Chromebook 315 (CB315-3H), Acer Aspire 3 (A315-56). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Acer,self-only,compatible-models,Acer,Acer,Acer | Asus,Acer Display 18010-15656700 15.6 in 2560x1440 / QHD 40-pin eDP,Acer,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18010-15656700-107156365,"Panel part numbers: 18010-15656700, NE156QHM-NZ2 V8.0. Compatible laptop models: Acer Swift 3 (SF314-41G), Acer Swift 1 (SF114-33), Acer Enduro N3 (EN314-51W), Acer Chromebook 314 (CB314-3H), Acer Chromebook 314 (C922), Acer Aspire 3 (A314-23P), Acer Chromebook 314 (C934), Acer Swift 1 (SF114-32), Acer Swift 3 (SF314-56), Acer Swift 3 (SF314-56G). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Acer,self-only,source-brand,Acer,,Acer,Acer Display 66.JWDJ6.001,Acer,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-66.jwdj6.001-149534737,"Panel part numbers: 66.JWDJ6.001. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Acer,self-only,source-brand,Acer,,Acer,Acer Display 6M.H0RN7.002,Acer,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-6m.h0rn7.002-145059487,"Panel part numbers: 6M.H0RN7.002. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Acer,self-only,source-brand,Acer,,Acer,Acer Display 6M.HLJH7.001,Acer,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-6m.hljh7.001-145059489,"Panel part numbers: 6M.HLJH7.001. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Acer,self-only,source-brand,Acer,,Acer,Acer Display 6M.HSRH7.001,Acer,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-6m.hsrh7.001-145059490,"Panel part numbers: 6M.HSRH7.001. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Acer,self-only,compatible-models,Acer,Acer,Acer,Acer Display 6M.KS8NE.001,Acer,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-6m.ks8ne.001-100774284,"Panel part numbers: 6M.KS8NE.001. Compatible laptop models: Acer Aspire Lite 14 (AL14-31P). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Acer,self-only,source-brand,Acer,,Acer,Acer Display 6M.L54N9.002,Acer,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-6m.l54n9.002-145059494,"Panel part numbers: 6M.L54N9.002. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Acer,self-only,source-brand,Acer,,Acer,Acer Display 6M.L7EN7.001,Acer,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-6m.l7en7.001-145059496,"Panel part numbers: 6M.L7EN7.001. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Acer,self-only,source-brand,Acer,,Acer,Acer Display 6M.LCKNB.001,Acer,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-6m.lcknb.001-145059499,"Panel part numbers: 6M.LCKNB.001. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Acer,self-only,source-brand,Acer,,Acer,Acer Display 6M.M3EN1.001SB,Acer,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-6m.m3en1.001sb-145059505,"Panel part numbers: 6M.M3EN1.001SB. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Acer,self-only,source-brand,Acer,,Acer,Acer Display 6M.R2CHA.001,Acer,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-6m.r2cha.001-102965930,"Panel part numbers: 6M.R2CHA.001. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Acer,self-only,compatible-models,Acer,Acer,Acer,Acer Display B116XAK01.0 3A 11.6 in 1366x768 / WXGA 40-pin eDP,Acer,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-b116xak01.0-3a-149223922,"Panel part numbers: B116XAK01.0 3A, B116XAK01.0. Compatible laptop models: Acer Chromebook 311 (CB311-9HT), Acer Chromebook 11 (C732T), Acer Chromebook 11 (C732L), Acer Chromebook 11 (C732LT), Acer ChromeBook 311 (C733T), Acer Chromebook 311 (C722T), Acer Chromebook 311 (CB311-11HT), Acer Chromebook 511 (C734), Acer Chromebook 511 (C741LT). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Acer,self-only,compatible-models,Acer,Acer,Acer,Acer Display B120XAN01.0 12.1 in 1366x912 / HD+ 30-pin eDP,Acer,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-b120xan01.0-103291484,"Panel part numbers: B120XAN01.0, G23BALA4Z2ZZ-ZENL00. Compatible laptop models: Acer ChromeBook 712 (C871), Acer Chromebook 512 (C851), Acer Chromebook 512 (C852). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
