self_brand,compatibility_category,classification_basis,detected_brands,compatibility_brands,source_brands,title,product_brand,source_url,compatibility
Asus,self-only,compatible-models,Asus,Asus,Asus,Asus Display 18002-13300400,Asus,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18002-13300400-140861844,"Panel part numbers: 18002-13300400. Compatible laptop models: Asus ZenBook UX301LA. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Asus,self-only,compatible-models,Asus,Asus,Asus,Asus Display 18010 17340200 17.3 in 1920x1080 / FHD 40-pin eDP,Asus,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18010-17340200-99025780,"Panel part numbers: 18010 17340200. Compatible laptop models: Asus ROG Strix G17 G713RM, Asus ROG Strix Scar 17 SE G733CX, Asus G733ZM, Asus TUF Gaming A17 FA707XU, Asus ROG Strix G17 G713QR, Asus ROG Strix G17 G713RS, Asus ROG Strix Scar 17 G733ZM, Asus ROG Strix Scar 17 G733ZS, Asus ROG Strix Scar 17 G733ZW, Asus ROG Strix Scar 17 G733ZX. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Asus,self-only,compatible-models,Asus,Asus,Asus,Asus Display 18010-03751500 23.8 in 1920x1080 / FHD 30-pin LVDS,Asus,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18010-03751500-149580369,"Panel part numbers: 18010-03751500, 18010-23832500. Compatible laptop models: Asus ExpertCenter P440. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Asus,self-only,compatible-models,Asus,Asus,Asus,Asus Display 18010-10150900,Asus,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18010-10150900-140861845,"Panel part numbers: 18010-10150900. Compatible laptop models: Asus Transformer Book T100TA. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Asus,self-only,compatible-models,Asus,Asus,Asus,Asus Display 18010-10151500,Asus,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18010-10151500-140861846,"Panel part numbers: 18010-10151500. Compatible laptop models: Asus Transformer Book T100TAF, Asus Transformer Book T100TAL, Asus Transformer Book T100TAM. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Asus,self-only,source-brand,Asus,,Asus,Asus Display 18010-11600100,Asus,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18010-11600100-140861847,"Panel part numbers: 18010-11600100. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Asus,self-only,compatible-models,Asus,Asus,Asus,Asus Display 18010-11600300,Asus,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18010-11600300-131918502,"Panel part numbers: 18010-11600300. Compatible laptop models: Asus R202MA, Asus VivoBook F200MA, Asus X200MA. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Asus,self-only,compatible-models,Asus,Asus,Asus,Asus Display 18010-11600700,Asus,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18010-11600700-140861848,"Panel part numbers: 18010-11600700. Compatible laptop models: Asus R202MA, Asus VivoBook F200MA, Asus X200MA. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Asus,self-only,compatible-models,Asus,Asus,Asus,Asus Display 18010-11601000,Asus,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18010-11601000-140861849,"Panel part numbers: 18010-11601000. Compatible laptop models: Asus Chromebook C200MA. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Asus,self-only,compatible-models,Asus,Asus,Asus,Asus Display 18010-11601100,Asus,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18010-11601100-149137729,"Panel part numbers: 18010-11601100. Compatible laptop models: Asus Chromebook C201PA, Asus E202SA, Asus EeeBook E202SA, Asus EeeBook F205TA, Asus EeeBook X205TA, Asus L202SA. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
