self_brand,compatibility_category,classification_basis,detected_brands,compatibility_brands,source_brands,title,product_brand,source_url,compatibility
HP,self-only,compatible-models,HP,HP,HP,HP Display 704700-J91 14.0 in 1600x900 / HD+ 40-pin eDP,HP,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-704700-j91-102336305,"Panel part numbers: 704700-J91, 704700-391, 704700-791. Compatible laptop models: HP EliteBook Folio 9470m. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
HP,self-only,source-brand,HP,,HP,HP Display 755694-JD1 15.6 in 1920x1080 / FHD 40-pin LVDS,HP,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-755694-jd1-109927163/nup,"Panel part numbers: 755694-JD1, 764623-001, 756412-3D1. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
HP,self-only,compatible-models,HP,HP,HP,HP Display 798476-3G2 17.3 in 1920x1080 / FHD 30-pin eDP,HP,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-798476-3g2-73682582,"Panel part numbers: 798476-3G2, 903815-001, 798476-3G1, 805696-002. Compatible laptop models: HP ProBook 470 G0, HP 17-by4000, HP 15-bs100, HP Omen 17-w100, HP ProBook 470 G4, HP ProBook 470 G5, HP Pavilion 17-ab000, HP 17t-by000, HP 17-by2000. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
HP,self-only,compatible-models,HP,HP,HP,HP Display 801084-3D3 15.6 in 1366x768 / HD 30-pin eDP,HP,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-801084-3d3-77303961,"Panel part numbers: 801084-3D3, 850477-003, 909185-002, 909185-005, 801084-JD2, 919316-001. Compatible laptop models: HP 15-ay500, HP 255 G7, HP 255 G5, HP 15-da1000, HP 15-bw600, HP 15-rb000, HP ProBook 650 G3, HP ProBook 640 G2, HP Pavilion x360 14-cd0100, HP 250 G6. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
HP,self-only,compatible-models,HP,HP,HP,HP Display 809347-001 17.3 in 1920x1080 / FHD 30-pin eDP,HP,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-809347-001-78899293,"Panel part numbers: 809347-001, L00869-001, 798926-008, 798476-2G2, L22564-001, L22734-001, 798476-JG1, 848391-001, 798476-JG2. Compatible laptop models: HP ProBook 470 G5, HP Pavilion 17-ab000, HP Omen 17-w200, HP Pavilion 17-ab200, HP Omen 17-w100, HP ProBook 470 G4, HP 17t-by000, HP ProBook 470 G0. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
HP,self-only,compatible-models,HP,HP,HP,HP Display 826403-001 14.0 in 1366x768 / HD 30-pin eDP,HP,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-826403-001-79216478,"Panel part numbers: 826403-001, L23210-001. Compatible laptop models: HP Pavilion 14-ce0100, HP 14-dq1000, HP 340S G7, HP ProBook 440 G2, HP 14-dk1000, HP 14s-dq0000, HP ProBook 645 G2, HP 248 G1, HP ProBook 650 G1, HP ProBook 440 G4. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
HP,self-only,compatible-models,HP,HP,HP,HP Display 839668-002 14.0 in 1366x768 / HD 30-pin eDP,HP,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-839668-002-73769187,"Panel part numbers: 839668-002, 823950-001. Compatible laptop models: HP ZBook 14 G2, HP Pavilion 14-ce1300, HP 14-dk0000, HP ProBook 455 G7, HP ProBook 440 G4, HP 246 G7, HP 240 G7, HP ProBook 440 G3, HP 14-dg0000, HP 14-ck0000. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
HP,self-only,compatible-models,HP,HP,HP,HP Display 903366-001 23.8 in 1920x1080 / FHD,HP,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-903366-001-70091775/nup,"Panel part numbers: 903366-001, 6091L-4071C, LM238WF2(SS)(K3), LM238WF2-SSK3, L01814-273. Compatible laptop models: HP EliteOne 800 G3. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
HP,self-only,compatible-models,HP,HP,HP,HP Display 935442 J92 14.0 in 1920x1080 / FHD 30-pin eDP,HP,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-935442-j92-103095296,"Panel part numbers: 935442 J92. Compatible laptop models: HP 14-cf3000, HP ZBook 14, HP Stream 14 Pro G3, HP ProBook 645 G2, HP ProBook 640 G2, HP ProBook 4430s, HP Pavilion 15-eg0000, HP Pavilion 14-ce0000, HP Pavilion 14-ce0400, HP Pavilion 14-ce0100. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
HP,self-only,compatible-models,HP,HP,HP | Samsung,HP Display ATNA40YK06 14.0 in 2880x1800 / WQXGA+ 40-pin eDP,HP,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-atna40yk06-133125375,"Panel part numbers: ATNA40YK06, ATNA40YK06-002, ATNA40YK06-0. Compatible laptop models: HP Pavilion Plus 14-eh0000, HP Pavilion Plus 14-eh1000. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
