self_brand,compatibility_category,classification_basis,detected_brands,compatibility_brands,source_brands,title,product_brand,source_url,compatibility
Medion,self-only,source-brand,Medion,,Medion,Medion Display 40030198,Medion,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-40030198-141282740,"Panel part numbers: 40030198. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Medion,self-only,source-brand,Medion,,Medion,Medion Display 40030292,Medion,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-40030292-141282741,"Panel part numbers: 40030292. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Medion,self-only,source-brand,Medion,,Medion,Medion Display 40031204,Medion,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-40031204-141282748,"Panel part numbers: 40031204. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Medion,self-only,source-brand,Medion,,Medion,Medion Display 40032596,Medion,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-40032596-141282756,"Panel part numbers: 40032596. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Medion,self-only,source-brand,Medion,,Medion,Medion Display 40035631,Medion,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-40035631-141282797,"Panel part numbers: 40035631. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Medion,self-only,source-brand,Medion,,Medion,Medion Display 40035913,Medion,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-40035913-141282798,"Panel part numbers: 40035913. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Medion,self-only,source-brand,Medion,,Medion,Medion Display 40036820,Medion,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-40036820-141282814,"Panel part numbers: 40036820. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Medion,self-only,source-brand,Medion,,Medion,Medion Display 40037359,Medion,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-40037359-141282816,"Panel part numbers: 40037359. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Medion,self-only,source-brand,Medion,,Medion,Medion Display 40037614,Medion,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-40037614-141282823,"Panel part numbers: 40037614. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Medion,self-only,source-brand,Medion,,Medion,Medion Display 40038042,Medion,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-40038042-141282833,"Panel part numbers: 40038042. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Medion,self-only,source-brand,Medion,,Medion,Medion Display 40038912,Medion,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-40038912-141282842,"Panel part numbers: 40038912. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Medion,self-only,source-brand,Medion,,Medion,Medion Display 40039655,Medion,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-40039655-141282851,"Panel part numbers: 40039655. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Medion,self-only,source-brand,Medion,,Medion,Medion Display 40041928,Medion,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-40041928-141282878,"Panel part numbers: 40041928. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Medion,self-only,source-brand,Medion,,Medion,Medion Display 40044717,Medion,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-40044717-141282915,"Panel part numbers: 40044717. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Medion,self-only,source-brand,Medion,,Medion,Medion Display 40044734,Medion,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-40044734-141282916,"Panel part numbers: 40044734. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Medion,self-only,source-brand,Medion,,Medion,Medion Display 40045804,Medion,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-40045804-141282927,"Panel part numbers: 40045804. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Medion,self-only,source-brand,Medion,,Medion,Medion Display 40046417,Medion,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-40046417-141282937,"Panel part numbers: 40046417. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Medion,self-only,source-brand,Medion,,Medion,Medion Display 40049410,Medion,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-40049410-141282989,"Panel part numbers: 40049410. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Medion,self-only,source-brand,Medion,,Medion,Medion Display 40049991,Medion,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-40049991-103992171,"Panel part numbers: 40049991. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Medion,self-only,source-brand,Medion,,Medion,Medion Display 40052742,Medion,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-40052742-103992272,"Panel part numbers: 40052742. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Medion,self-only,source-brand,Medion,,Medion,Medion Display 40053379,Medion,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-40053379-103992297,"Panel part numbers: 40053379. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Medion,self-only,source-brand,Medion,,Medion,Medion Display 40054675,Medion,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-40054675-141283086,"Panel part numbers: 40054675. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Medion,self-only,source-brand,Medion,,Medion,Medion Display 40054952,Medion,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-40054952-103992378,"Panel part numbers: 40054952. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Medion,self-only,source-brand,Medion,,Medion,Medion Display 40054957,Medion,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-40054957-141283092,"Panel part numbers: 40054957. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Medion,self-only,source-brand,Medion,,Medion,Medion Display 40055247,Medion,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-40055247-103992409,"Panel part numbers: 40055247. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Medion,self-only,source-brand,Medion,,Medion,Medion Display 40055921,Medion,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-40055921-103992430,"Panel part numbers: 40055921. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Medion,self-only,source-brand,Medion,,Medion,Medion Display 40056357,Medion,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-40056357-141283145,"Panel part numbers: 40056357. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
