self_brand,compatibility_category,classification_basis,detected_brands,compatibility_brands,source_brands,title,product_brand,source_url,compatibility
MSI,self-only,compatible-models,MSI,MSI,Asus | MSI,MSI Display 18010-17323200 17.3 in 1920x1080 / FHD 40-pin eDP,MSI,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18010-17323200-97640591,"Panel part numbers: 18010-17323200. Compatible laptop models: MSI GL75 9SD/9SDK/9SE/9SEK (MS-17E5), MSI GF76 Katana 12UGS/12UGK (MS-17L3), MSI GE75 Raider 10SGS/10SFS/10SF (MS-17E9), MSI GS75 Stealth 8SD/8SE/8SF/8SG (MS-17G1), MSI GP76 Leopard 11UH/11UG/11UE (MS-17K3), MSI WF75 10TI/10TJ (MS-17F4), MSI GE73 7RC/7RD (MS-17C3), MSI WS75 10TK/10TL/10TM (MS-17G3), MSI Stealth 17 Studio A13VI/A13VH (MS-17P2), MSI Vector GP76 12UGS/12UE (MS-17K4). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
MSI,self-only,compatible-models,MSI,MSI,MSI,MSI Display 9B9BATG3KDZZ-ZZ8300 17.3 in 1920x1080 / FHD 30-pin eDP,MSI,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-9b9batg3kdzz-zz8300-79966958,"Panel part numbers: 9B9BATG3KDZZ-ZZ8300, B173HAN04.2. Compatible laptop models: MSI GS75 Stealth 9SE/9SD/9SF/9SG (MS-17G1), MSI WS75 9TL/9TK (MS-17G1), MSI P75 Creator 8SD/8SE/8SF (MS-17G1), MSI WE75 8TJ/9TJ (MS-17E3), MSI GF75 Thin 10SE (MS-17F3), MSI P75 9SE/9SG/9SD/9SF (MS-17G1), MSI P75 Creator 9SC (MS-17G2), MSI P75 Creator 9SE/9SG/9SD/9SF (MS-17G1). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
MSI,self-only,compatible-models,MSI,MSI,MSI,MSI Display B173HAN04.7 17.3 in 1920x1080 / FHD 40-pin eDP,MSI,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-b173han04.7-121137885,"Panel part numbers: B173HAN04.7, B173HAN04.7 (HW:0A). Compatible laptop models: MSI GF75 Thin 9SC/9RC/9RCX (MS-17F2), MSI GF75 Thin 9SD/9SE/9SEK (MS-17F3), MSI GF75 Thin 9SCSR (MS-16R4), MSI GF76 Thin 11UHK/11UG (MS-17L1), MSI GP75 Leopard 9RC/9SC (MS-17E3), MSI GT76 Titan DT 9SG/9SGS (MS-17H1), MSI GP75 Leopard 10SCSK/10SCXK (MS-17E8), MSI WS75 9TJ (MS-17G2), MSI GE72VR 7RD/7RE/7RF (MS-179B), MSI GF75 Thin 10SCXR/10SCXK/10SCSR (MS-17F4). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
MSI,self-only,compatible-models,MSI,MSI,MSI,MSI Display N173HCE-G33 C3 17.3 in 1920x1080 / FHD 40-pin eDP,MSI,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-n173hce-g33-c3-101301219,"Panel part numbers: N173HCE-G33 C3, N173HCE-G33 C1, N173HCE-G33 Rev.C1, N173HCE-G33 REV.C2, N173HCE-G33 Rev.C3. Compatible laptop models: MSI Sword 17 A11UC (MS-17L1), MSI Pulse GL76 11UCK/11UDK/11SCK (MS-17L2), MSI GL75 9SGK/9SFK (MS-17E2), MSI Crosshair 17 A12UGZK/A12UGSZK (MS-17L3), MSI GS77 Stealth 12UHS/12UH (MS-17P1), MSI GE75 Raider 8RE/8RF (MS-17E1), MSI WS75 10TK/10TL/10TM (MS-17G3), MSI GT73EVR 7RD/7RE/7RF (MS-17A1), MSI GS73 Stealth Pro 7RE (MS-17B4), MSI GS76 Stealth 11UH/11UG/11UE (MS-17M1). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
MSI,self-only,compatible-models,MSI,MSI,MSI,MSI Display NV156FHM-NXA 15.6 in 1920x1080 / FHD 40-pin eDP,MSI,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-nv156fhm-nxa-150197940,"Panel part numbers: NV156FHM-NXA. Compatible laptop models: MSI GL65 Leopard 9SDR/10SER/10SFR (MS-16U7), MSI GF65 Thin 10UE (MS-16W2), MSI GF63 Thin 10SCX/10SCXR (MS-16R4), MSI Alpha 15 A3DD/A3DDK/A3DC/A3DCK (MS-16U6), MSI Creator 15M A10SD/A10SE/A10SCS (MS-16W1), MSI Creator 15 A10UG/A10UGT (MS-16V3), MSI Stealth 15M A11SCSW (MS-1562), MSI GL65 Leopard 10SDR/10SDK/10SEK (MS-16U7), MSI Cyborg 15 A12VF/A12VE (MS-15K1), MSI GP66 Vector 12UG/12UGS (MS-1544). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
MSI,self-only,compatible-models,MSI,MSI,MSI,MSI Display S1J-4E0A017-B51 14.0 in 1920x1080 / FHD 30-pin eDP,MSI,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-s1j-4e0a017-b51-84906513,"Panel part numbers: S1J-4E0A017-B51, NV140FHM-N61 V8.0, S1J-4E0A014-I75, NV140FHM-N61. Compatible laptop models: MSI Prestige 14 A10RC/A10RD (MS-14C2), MSI Prestige 14 A10SC (MS-14C1), MSI Modern 14 B10M/B10MW (MS-14D1), MSI Modern 14 B4M/B4MW (MS-14DK), MSI Prestige 14 A10RB/A10RBS (MS-14C2), MSI Modern 14 B10RBS/B10RBSW (MS-14D1), MSI Prestige 14 A10M (MS-14C2), MSI Modern 14 B10RAS/B10RASW (MS-14D1), MSI Prestige 14 A10RAS (MS-14C2), MSI Prestige 14 A11SCXT (MS-14C4). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
MSI,self-only,compatible-models,MSI,MSI,MSI,MSI Display S1J-6E0A013-S02 15.6 in 1920x1080 / FHD 30-pin eDP,MSI,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-s1j-6e0a013-s02-85086056,"Panel part numbers: S1J-6E0A013-S02, S1J-6E0A018-I75, S1J-6E0A019-L47, S1J-6E0A025-I75, S1J-6E0A040-L47, S1J-6E0A015-L47. Compatible laptop models: MSI GS63VR 6RF Ghost Pro (MS-16K2), MSI GL63 8RC (MS-16P6), MSI GL63 8SD/8SDK (MS-16P7), MSI GS63 Stealth 8RC/8RD (MS-16K6), MSI GP62 8RD WOT (MS-16JF), MSI GT63 8RE/8RF/8RG (MS-16L4), MSI GS63VR 6RF/7RF Pro (MS-16K2), MSI GV62 7RC (MS-16JD), MSI GL62 6RE/6RD/7RD/7RDX (MS-16J9), MSI GL62M 7RD/7RE/7REX/7RDX (MS-16J9). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
MSI,self-only,compatible-models,MSI,MSI,MSI,MSI Display S1J-6E0A028-A90 15.6 in 1920x1080 / FHD 30-pin eDP,MSI,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-s1j-6e0a028-a90-85086064,"Panel part numbers: S1J-6E0A028-A90, S1J-6E0A022-L47, S1J-6E0A024-L47, S1J-6E0A046-L47, S1J-6E0A016-I75. Compatible laptop models: MSI GV62 7RD/7RE (MS-16J9), MSI GF62VR 7RF (MS-16JB), MSI GP62MVR 6RF/7RF/7RFX/7RGX (MS-16JB), MSI GP63 8RC (MS-16P6), MSI GP62 8RC WOT (MS-16JF), MSI GL63 8RD (MS-16P6), MSI GP63 8RF (MS-16P5), MSI GV62 7RC (MS-16JD), MSI GL62 6RE/6RD/7RD/7RDX (MS-16J9), MSI GL62M 7RD/7RE/7REX/7RDX (MS-16J9). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
MSI,self-only,compatible-models,MSI,MSI,MSI,MSI Display S1J-6E0A049-I75 15.6 in 1920x1080 / FHD 30-pin eDP,MSI,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-s1j-6e0a049-i75-89406555,"Panel part numbers: S1J-6E0A049-I75, S1J-6E0A045-I75, S1J-JF1A002-A90, S1J-JE0A020-I75, S1J-JE0A009-A90. Compatible laptop models: MSI WS65 8TK/9TK/9TL/9TM (MS-16Q4), MSI GF63 Thin 11UD (MS-16R6), MSI PS63 Modern 8M/8RC/8RD/8SC (MS-16S1), MSI Creator 15 A10SGS (MS-16V2), MSI GP65 Leopard 9SC (MS-16U2), MSI P65 Creator 8RD/8RE (MS-16Q3), MSI Stealth 15M A11SCSW (MS-1562), MSI Pro 16T 10M (MS-A618), MSI Bravo 15 C7UCXK/C7UCXP (MS-158N), MSI Cyborg 15 AI A1VF/A1VFK. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
MSI,self-only,compatible-models,MSI,MSI,MSI,MSI Display S1J-6E0A056-L47 15.6 in 1920x1080 / FHD 40-pin eDP,MSI,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-s1j-6e0a056-l47-85112027,"Panel part numbers: S1J-6E0A056-L47, S1J-JE0A013-L47, S1J-6E0A060-A90, S1J-6E0A063-I75, S1J-JF1A001-A90, S1J-JE0A053-B51. Compatible laptop models: MSI GL65 Leopard 10SCXR/10SCSR (MS-16U8), MSI Sword 15 A11UE/A11UG (MS-1581), MSI GL65 9SDK (MS-16U7), MSI Alpha 15 B5EE/B5EEK (MS-158L), MSI WS66 10TK/10TM/10TL (MS-16V2), MSI GS66 Stealth 10SF/10SE/10SFS (MS-16V1), MSI P65 Creator 8RF (MS-16Q2), MSI GE65 Raider 9SD/9SE/9SF/9SG (MS-16U1), MSI GS65 Stealth Thin 8RE/8RF (MS-16Q2), MSI GS65 Stealth 9SD/9SE/9SF/9SG (MS-16Q4). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
