compatibility_category,classification_basis,detected_brands,compatibility_brands,source_brands,title,product_brand,source_url,compatibility
cross-brand,structured-db,Alienware | Dell,Alienware | Dell,,"Alienware 14 R1 / Latitude E7440 LED 14"" WXGAHD LCD Widescreen - Matte - XG69V",Dell,https://www.parts-people.com/index.php?action=item&id=17039,"Dell LCD screen part number: XG69V. Dell part numbers: XG69V. Panel/manufacturer part numbers: LTN140AT29. Compatible Dell models: -Alienware 14 R1, -Inspiron 14 (7437), 14 (3451), 14 (7447), 14 (5458), 14 (3452), 14 (3458), 14 (3459), 14 (3467), 14 (5468), 14 (3465), 14 (3462), 14 (3468), 14 (3473), 14 (3476), 14 (7466), 14 (5455), 14 (7467), 14 (5459), 3480, 14 (3482), -Latitude E7440, E6440, E7450, E5450, 3450, 3460, 3470, E5470, E7470, 5480, 3480, 5490, 5491, 5495, 3490, -Vostro 14 (3458), 14 (3446), 14 (5458), 5480, 14 (3445), 14 (5468), 14 (3468), 14 (3459), 14 (5459), 5471, 14 (3478). Screen size: 14.0"". Resolution: WXGAHD (1366 x 768) Matte. Match laptop model, Dell DP/N, panel part number, touch support, connector pins and assembly style before ordering."
cross-brand,structured-db,Asus | Schenker,Asus | Schenker,,Asus Display 18010-15617200 15.6 in 1920x1080 / FHD 40-pin eDP,Asus,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18010-15617200-101287953,"Panel part numbers: 18010-15617200. Compatible laptop models: Asus ROG Strix G15 G513QE, Asus TUF Gaming Dash FX517ZE, Asus ROG Strix G15 G513RM, Asus ROG Strix Scar 15 G533ZM, Asus ROG Strix G15 G513RX, Schenker XMG Core 15-M21 (GM5NG0O), Asus G513RM, Asus ROG Zephyrus Duo 15 SE GX551QR, Asus ROG Strix G15 G513QM, Asus ROG Strix G15 G513IM. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
cross-brand,structured-db,Asus | Medion,Asus | Medion,,Asus Display 18010-16011600 16.0 in 2560x1600 / WUXGA 40-pin eDP,Asus,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18010-16011600-102181309,"Panel part numbers: 18010-16011600, 18010-16010400, 18010-16020500. Compatible laptop models: Asus ROG Zephyrus Duo 16 GX650RS, Asus ROG Zephyrus Duo 16 GX650PV, Asus GX650RX, Medion Erazer Major X10 (N68630), Asus ROG Zephyrus Duo 16 GX650RX, Asus NR2202RX, Asus ROG Zephyrus Duo 16 GX650RW, Asus ROG Zephyrus Duo 16 GX650RM, Asus ROG Zephyrus Duo 16 GX650PI. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
cross-brand,structured-db,Asus | Medion,Asus | Medion,,Asus Display 5D11A40589 16.0 in 2560x1600 / WUXGA 40-pin eDP,Asus,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-5d11a40589-100606189,"Panel part numbers: 5D11A40589, SD11A40588. Compatible laptop models: Asus ROG Zephyrus Duo 16 GX650RS, Asus ROG Zephyrus Duo 16 GX650PV, Asus GX650RX, Medion Erazer Major X10 (N68630), Asus ROG Zephyrus Duo 16 GX650RX, Asus NR2202RX, Asus ROG Zephyrus Duo 16 GX650RW, Asus ROG Zephyrus Duo 16 GX650RM, Asus ROG Zephyrus Duo 16 GX650PI. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
cross-brand,structured-db,Asus | Medion,Asus | Medion,,Asus Display B160QAN02.S (H/W:1A) 16.0 in 2560x1600 / WUXGA 40-pin eDP,Asus,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-b160qan02.s-h-w-1a-102181549,"Panel part numbers: B160QAN02.S (H/W:1A), B160QAN02.S 1A, B160QAN02.S (H/W:0A), B160QAN02.S 0A, B160QAN02.S (HW:1A), B160QAN02.Q (H/W:0A), B160QAN02.Q (H/W:1A), NE160QDM-NY3 V8.1. Compatible laptop models: Asus ROG Zephyrus Duo 16 GX650RS, Asus ROG Zephyrus Duo 16 GX650PV, Asus GX650RX, Medion Erazer Major X10 (N68630), Asus ROG Zephyrus Duo 16 GX650RX, Asus NR2202RX, Asus ROG Zephyrus Duo 16 GX650RW, Asus ROG Zephyrus Duo 16 GX650RM, Asus ROG Zephyrus Duo 16 GX650PI. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
cross-brand,structured-db,Asus | Medion,Asus | Medion,,Asus Display NE160QDM-NY1 V8.3 16.0 in 2560x1600 / WUXGA 40-pin eDP,Asus,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-ne160qdm-ny1-v8.3-102173718,"Panel part numbers: NE160QDM-NY1 V8.3. Compatible laptop models: Asus ROG Zephyrus Duo 16 GX650RM, Asus ROG Zephyrus Duo 16 GX650PI, Medion Erazer Major X10 (N68630), Asus ROG Zephyrus Duo 16 GX650RX, Asus NR2202RX, Asus ROG Zephyrus Duo 16 GX650RW, Asus ROG Zephyrus Duo 16 GX650RS, Asus ROG Zephyrus Duo 16 GX650PV. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
cross-brand,structured-db,Asus | Medion,Asus | Medion,,Asus Display SD11D69632 16.0 in 2560x1600 / WUXGA 40-pin eDP,Asus,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-sd11d69632-102173728,"Panel part numbers: SD11D69632. Compatible laptop models: Asus ROG Zephyrus Duo 16 GX650RM, Asus ROG Zephyrus Duo 16 GX650PI, Medion Erazer Major X10 (N68630), Asus ROG Zephyrus Duo 16 GX650RX, Asus NR2202RX, Asus ROG Zephyrus Duo 16 GX650RW, Asus ROG Zephyrus Duo 16 GX650RS, Asus ROG Zephyrus Duo 16 GX650PV. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
cross-brand,structured-db,Dell | HP | Lenovo,Dell | HP | Lenovo,,Compatible Display 000TN 15.6 in 1920x1080 / FHD 30-pin eDP,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-000tn-103204388,"Panel part numbers: 000TN. Compatible laptop models: Dell Precision 15 (3550), HP ProBook 455 G9, Mifcom Office Notebook i5-1340P (NS50AU), Lenovo ThinkPad L15 Gen 3 (21C3/21C4), Dell Precision 15 (3551), Dell Latitude 15 (5500), Dell Latitude 15 (5501), Dell Latitude 15 (5510), Dell Latitude 15 (5511). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
cross-brand,structured-db,Acer | Asus | HP | Lenovo | Toshiba,Acer | Asus | HP | Lenovo | Toshiba,,Compatible Display 00HN825 14.0 in 1920x1080 / FHD 30-pin eDP,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-00hn825-52161064,"Panel part numbers: 00HN825, 00HT622, 00PA890, 01AV853, 00NY673, 00NY448, 01EN101, 00NY408, 00PA889. Compatible laptop models: Lenovo ThinkPad T440s (20AQ/20AR), Acer TravelMate P6 (P648-M), Lenovo S41-35 (80JW), Lenovo ThinkPad T480s (20L7/20L8), Lenovo ThinkPad L480 (20LS/20LT), Toshiba Satellite Pro A40-C, Lenovo V130-14IGM (81HM), HP 14-bs100, Asus F456UQ, Lenovo ThinkPad T460p (20FW/20FX). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
cross-brand,structured-db,Asus | Dell | HP | Lenovo,Asus | Dell | HP | Lenovo,,Compatible Display 00NY422 14.0 in 1920x1080 / FHD 30-pin eDP,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-00ny422-53359381,"Panel part numbers: 00NY422, 00PA892, 00NY657, 02DA367, 00NY447, 02DL609, 02DL764, 02DA379. Compatible laptop models: Dell Latitude 14 (E7470), Lenovo ThinkPad T460s (20FA/20F9), Lenovo S41-70 (80JU/80JS), HP Chromebook 14 G4, Lenovo ThinkPad E450 (20DC/20DD), HP mt42 Mobile Thin Client, Asus VivoBook 14 X405UQ, Asus VivoBook Max X441MB, Lenovo ThinkPad A485 (20MU/20MV), Lenovo V330-14ARR (81B1). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
cross-brand,structured-db,Acer | Asus | Packard Bell | Toshiba,Acer | Asus | Packard Bell | Toshiba,,Compatible Display 00UR876 15.6 in 1920x1080 / FHD 30-pin eDP,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-00ur876-100193825,"Panel part numbers: 00UR876, 00HT921, 00JT261, 5D10K81462, 5D10K92393, SD10H00124, SD10L27781, SD10L79298, 01AV641, 5D10Q39583. Compatible laptop models: Packard Bell EasyNote TE69CX, Asus R510LN, Acer Aspire V3-571G, Toshiba Satellite L50-B, Asus N550JV, Asus R556LD, Asus N551JX, Asus X555LN, Asus VivoBook S551LN, Acer Extensa 2511G. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
cross-brand,structured-db,Asus | Lenovo | MSI,Asus | Lenovo | MSI,,Compatible Display 00UR885 15.6 in 1920x1080 / FHD 30-pin eDP,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-00ur885-109845197/nup,"Panel part numbers: 00UR885, 01HY449, 01HY450, 00UR886, 00UR887. Compatible laptop models: Lenovo ThinkPad P51s (20HB/20HC/20JY/20K0), Asus VivoBook 15 X510UR, Asus VivoBook S510NA, Asus VivoBook 15 R507UA, Asus VivoBook 15 F507MA, Asus VivoBook 15 F510UA, Asus VivoBook 15 F545FJ, Asus VivoBook 15 X545FA, Asus VivoBook K570UD, MSI GV62VR 7RF (MS-16JB). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
cross-brand,structured-db,Acer | Asus | Lenovo,Acer | Asus | Lenovo,,Compatible Display 01AG967 23.8 in 1920x1080 / FHD 30-pin LVDS,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-01ag967-145202251,"Panel part numbers: 01AG967, 5D10W33944, 5D10W33970, 6091L-3327T, SD10W64189. Compatible laptop models: Asus A6511UK, Asus Vivo AiO V241FFK, Lenovo IdeaCentre AIO 520-24IKL (F0D1), Lenovo ThinkCentre M910z (10NR/10NS/10NT/10NU/10NV), Lenovo V50a-24IMB (11FL), Lenovo M90a Desktop (11JX), Lenovo ThinkCentre M90a Gen 2 (11MN), Lenovo ThinkCentre M90a Gen 3 (11VK), Lenovo IdeaCentre AIO 5 24IAH7 (F0GR), Acer Aspire C24-860. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
