self_brand,compatibility_category,classification_basis,detected_brands,compatibility_brands,source_brands,title,product_brand,source_url,compatibility
Alienware,self-only,structured-db,Alienware,Alienware,,"Alienware m15 R2 15.6"" UHD (4K) LCD OLED Widescreen With Rails - HPV00 - 0HHFM",Dell,https://www.parts-people.com/index.php?action=item&id=34430,"Dell LCD screen part number: HPV00M15R2. Dell part numbers: HPV00M15R2. Panel/manufacturer part numbers: ATNA56WR04-0. Compatible Dell models: -Alienware m15 R2 with OLED 4K screen. Screen size: 15.6"". Resolution: UHD (4K) 3840 x 2160. Match laptop model, Dell DP/N, panel part number, touch support, connector pins and assembly style before ordering."
Alienware,self-only,structured-db,Alienware,Alienware,,"Alienware m15 R3 15.6"" UHD (4K) LCD OLED Widescreen With Rails - HPV00 - 0HHFM",Dell,https://www.parts-people.com/index.php?action=item&id=43921,"Dell LCD screen part number: M15R3HPV00. Dell part numbers: M15R3HPV00. Panel/manufacturer part numbers: ATNA56WR04-0. Compatible Dell models: -Alienware m15 R3 with OLED 4K screen. Screen size: 15.6"". Resolution: UHD (4K) 3840 x 2160. Match laptop model, Dell DP/N, panel part number, touch support, connector pins and assembly style before ordering."
Alienware,self-only,structured-db,Alienware,Alienware,,Dell OEM Alienware 17 R4 / R5 17.3 QHD EDP LCD Widescreen Matte - JYWWF,Dell,https://www.parts-people.com/index.php?action=item&id=25520,"Dell LCD screen part number: JYWWF. Dell part numbers: JYWWF. Compatible Dell models: -Alienware 17 R4, -Alienware 17 R5, -Alienware m17, -Alienware m17 R2. Screen size: 17.3"". Resolution: QHD (2560 x 1440) Matte Finish. Match laptop model, Dell DP/N, panel part number, touch support, connector pins and assembly style before ordering."
Alienware,self-only,structured-db,Alienware,Alienware,,Dell OEM Alienware 17 R4 17.3 QHD EDP LCD Widescreen Matte - WJGD4,Dell,https://www.parts-people.com/index.php?action=item&id=23839,"Dell LCD screen part number: WJGD4. Dell part numbers: WJGD4. Compatible Dell models: -Alienware 17 R4, -Alienware 17 R5, -Alienware m17, -Alienware m17 R2. Screen size: 17.3"". Resolution: QHD (2560 x 1440) Matte Finish. Match laptop model, Dell DP/N, panel part number, touch support, connector pins and assembly style before ordering."
Alienware,self-only,structured-db,Alienware,Alienware,,"New Alienware 15 R3 / R4 15.6"" FHD 120Hz LCD Widescreen - Matte - HPJGK",Dell,https://www.parts-people.com/index.php?action=item&id=25265,"Dell LCD screen part number: HPJGK. Dell part numbers: HPJGK. Panel/manufacturer part numbers: B156HTN05.1. Compatible Dell models: -Alienware 15 R4, -Alienware 15 R3. Screen size: 15.6"". Resolution: FHD (1920 x 1080) Matte Finish. Match laptop model, Dell DP/N, panel part number, touch support, connector pins and assembly style before ordering."
Alienware,self-only,structured-db,Alienware,Alienware,,"New Dell OEM Alienware m15 R3 / m15 R4 15.6"" FHD LCD Screen Display Complete Assembly - 144Hz - 7NPDT",Dell,https://www.parts-people.com/index.php?action=item&id=43687,"Dell LCD screen part number: 7NPDT. Dell part numbers: 7NPDT, 07NPDT. Compatible Dell models: Alienware m15 R3, Alienware m15 R4. Screen size: 15.6"". Resolution: FHD (1920 x 1080). Match laptop model, Dell DP/N, panel part number, touch support, connector pins and assembly style before ordering."
Alienware,self-only,structured-db,Alienware,Alienware,,"New Dell OEM Alienware m15 R3 / m15 R4 15.6"" FHD LCD Screen Display Complete Assembly - 144Hz - P2WFF",Dell,https://www.parts-people.com/index.php?action=item&id=43610,"Dell LCD screen part number: P2WFF. Dell part numbers: P2WFF, 0P2WFF. Compatible Dell models: Alienware m15 R3, Alienware m15 R4. Screen size: 15.6"". Resolution: FHD (1920 x 1080). Match laptop model, Dell DP/N, panel part number, touch support, connector pins and assembly style before ordering."
Alienware,self-only,structured-db,Alienware,Alienware,,"New Dell OEM Alienware m15 R7 15.6"" FHD LCD Screen Display Complete Assembly - 360Hz - YP71G",Dell,https://www.parts-people.com/index.php?action=item&id=43669,"Dell LCD screen part number: YP71G. Dell part numbers: YP71G, 0YP71G. Compatible Dell models: Alienware m15 R7. Screen size: 15.6"". Resolution: FHD (1920 x 1080). Match laptop model, Dell DP/N, panel part number, touch support, connector pins and assembly style before ordering."
Alienware,self-only,structured-db,Alienware,Alienware,,New Dell OEM Alienware m17 / m17 R2 17.3 QHD EDP LCD Widescreen Matte - 2JVM6,Dell,https://www.parts-people.com/index.php?action=item&id=31501,"Dell LCD screen part number: 48TD4. Dell part numbers: 48TD4. Compatible Dell models: -Alienware 17 R4, -Alienware 17 R5, -Alienware m17, -Alienware m17 R2. Screen size: 17.3"". Resolution: QHD (2560 x 1440) Matte Finish. Match laptop model, Dell DP/N, panel part number, touch support, connector pins and assembly style before ordering."
Alienware,self-only,structured-db,Alienware,Alienware,,"New Dell OEM Alienware m17 R3 R4 17.3"" FHD LCD Screen Display Complete Assembly - 144Hz - 8CGYR",Dell,https://www.parts-people.com/index.php?action=item&id=42979,"Dell LCD screen part number: 8CGYR. Dell part numbers: 8CGYR, 08CGYR. Compatible Dell models: Alienware m17 R3, Alienware m17 R4. Screen size: 17.3"". Resolution: FHD (1920 x 1080). Match laptop model, Dell DP/N, panel part number, touch support, connector pins and assembly style before ordering."
Alienware,self-only,structured-db,Alienware,Alienware,,"New Dell OEM Alienware m17 R3 R4 17.3"" UHD LCD Screen Display Complete Assembly - Tobii - 8JRHK",Dell,https://www.parts-people.com/index.php?action=item&id=43667,"Dell LCD screen part number: 8JRHK. Dell part numbers: 8JRHK, 08JRHK. Compatible Dell models: Alienware m17 R3, Alienware m17 R4. Screen size: 17.3"". Resolution: UHD (4K) 3840 x 2160 pixels. Match laptop model, Dell DP/N, panel part number, touch support, connector pins and assembly style before ordering."
Alienware,self-only,structured-db,Alienware,Alienware,,"New Dell OEM Alienware m17 R4 R3 17.3"" FHD LCD Screen Display Complete Assembly - 144Hz - 5DJM1",Dell,https://www.parts-people.com/index.php?action=item&id=41322,"Dell LCD screen part number: 5DJM1. Dell part numbers: 5DJM1, 05DJM1. Compatible Dell models: Alienware m17 R3, Alienware m17 R4. Screen size: 17.3"". Resolution: FHD (1920 x 1080). Match laptop model, Dell DP/N, panel part number, touch support, connector pins and assembly style before ordering."
Alienware,self-only,structured-db,Alienware,Alienware,,"New Dell OEM Alienware m17 R4 R3 17.3"" FHD LCD Screen Display Complete Assembly - 144Hz - M78NY - Black",Dell,https://www.parts-people.com/index.php?action=item&id=42283,"Dell LCD screen part number: M78NY. Dell part numbers: M78NY, 0M78NY. Compatible Dell models: Alienware m17 R3, Alienware m17 R4. Screen size: 17.3"". Resolution: FHD (1920 x 1080). Match laptop model, Dell DP/N, panel part number, touch support, connector pins and assembly style before ordering."
Alienware,self-only,structured-db,Alienware,Alienware,,"New Dell OEM Alienware m17 R4 R3 17.3"" FHD LCD Screen Display Complete Assembly - 144Hz - MT9XJ - Black",Dell,https://www.parts-people.com/index.php?action=item&id=42918,"Dell LCD screen part number: MT9XJ. Dell part numbers: MT9XJ, 0MT9XJ. Compatible Dell models: Alienware m17 R3, Alienware m17 R4. Screen size: 17.3"". Resolution: FHD (1920 x 1080). Match laptop model, Dell DP/N, panel part number, touch support, connector pins and assembly style before ordering."
Alienware,self-only,structured-db,Alienware,Alienware,,"New Dell OEM Alienware x15 R1 / X15 R2 15.6"" FHD LCD Screen Display Complete Assembly - 165Hz - 7MX08",Dell,https://www.parts-people.com/index.php?action=item&id=42407,"Dell LCD screen part number: 7MX08. Dell part numbers: 7MX08, 07MX08. Compatible Dell models: Alienware x15 R1, Alienware x15 R2. Screen size: 15.6"". Resolution: FHD (1920 x 1080). Match laptop model, Dell DP/N, panel part number, touch support, connector pins and assembly style before ordering."
Alienware,self-only,structured-db,Alienware,Alienware,,"New Dell OEM Alienware x15 R1 / X15 R2 15.6"" FHD LCD Screen Display Complete Assembly - 165Hz - 84KH4",Dell,https://www.parts-people.com/index.php?action=item&id=43689,"Dell LCD screen part number: 84KH4. Dell part numbers: 84KH4, 084KH4. Compatible Dell models: Alienware x15 R1, Alienware x15 R2. Screen size: 15.6"". Resolution: FHD (1920 x 1080). Match laptop model, Dell DP/N, panel part number, touch support, connector pins and assembly style before ordering."
Alienware,self-only,structured-db,Alienware,Alienware,,"New Dell OEM Alienware x15 R1 / X15 R2 15.6"" FHD LCD Screen Display Complete Assembly - 360Hz - 1H6NT",Dell,https://www.parts-people.com/index.php?action=item&id=43685,"Dell LCD screen part number: 1H6NT. Dell part numbers: 1H6NT, 01H6NT. Compatible Dell models: Alienware x15 R1, Alienware x15 R2. Screen size: 15.6"". Resolution: FHD (1920 x 1080). Match laptop model, Dell DP/N, panel part number, touch support, connector pins and assembly style before ordering."
Alienware,self-only,structured-db,Alienware,Alienware,,"New Dell OEM Alienware x15 R1 / X15 R2 15.6"" QHD LCD Screen Display Complete Assembly - 240Hz - 12TVK",Dell,https://www.parts-people.com/index.php?action=item&id=43612,"Dell LCD screen part number: 12TVK. Dell part numbers: 12TVK, 012TVK. Compatible Dell models: Alienware x15 R1, Alienware x15 R2. Screen size: 15.6"". Resolution: QHD (2560 x 1440). Match laptop model, Dell DP/N, panel part number, touch support, connector pins and assembly style before ordering."
Alienware,self-only,structured-db,Alienware,Alienware,,"New Dell OEM Alienware x17 R1 17.3"" FHD LCD Screen Display Complete Assembly - 165Hz - GPKYP",Dell,https://www.parts-people.com/index.php?action=item&id=43614,"Dell LCD screen part number: GPKYP. Dell part numbers: GPKYP, 0GPKYP. Compatible Dell models: Alienware x17 R1 (without G-Sync). Screen size: 17.3"". Resolution: FHD (1920 x 1080). Match laptop model, Dell DP/N, panel part number, touch support, connector pins and assembly style before ordering."
Alienware,self-only,structured-db,Alienware,Alienware,,"New Dell OEM Alienware x17 R2 17.3"" FHD LCD Screen Display Complete Assembly - 165Hz - 7YGDK",Dell,https://www.parts-people.com/index.php?action=item&id=43616,"Dell LCD screen part number: 7YGDK. Dell part numbers: 7YGDK, 07YGDK. Compatible Dell models: Alienware x17 R2. Screen size: 17.3"". Resolution: FHD (1920 x 1080). Match laptop model, Dell DP/N, panel part number, touch support, connector pins and assembly style before ordering."
