self_brand,compatibility_category,classification_basis,detected_brands,compatibility_brands,source_brands,title,product_brand,source_url,compatibility
Huawei,self-only,structured-db,Huawei,Huawei,,Compatible Display TV160DKT-NH0 16.0 in 2520x1680 / 0 30-pin eDP,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-tv160dkt-nh0-104339680,"Panel part numbers: TV160DKT-NH0. Compatible laptop models: Huawei Matebook 16. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Huawei,self-only,structured-db,Huawei,Huawei,,Huawei Display 02351DGP,Huawei,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-02351dgp-138984889,"Panel part numbers: 02351DGP. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Huawei,self-only,structured-db,Huawei,Huawei,,Huawei Display 02351DMD,Huawei,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-02351dmd-138984893,"Panel part numbers: 02351DMD. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Huawei,self-only,structured-db,Huawei,Huawei,,Huawei Display 02351KQL,Huawei,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-02351kql-138984913,"Panel part numbers: 02351KQL. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Huawei,self-only,structured-db,Huawei,Huawei,,Huawei Display 02351TVA,Huawei,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-02351tva-138984949,"Panel part numbers: 02351TVA. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Huawei,self-only,structured-db,Huawei,Huawei,,Huawei Display 02351WLK,Huawei,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-02351wlk-138984973,"Panel part numbers: 02351WLK. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Huawei,self-only,structured-db,Huawei,Huawei,,Huawei Display 02352BTW,Huawei,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-02352btw-138984995,"Panel part numbers: 02352BTW. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Huawei,self-only,structured-db,Huawei,Huawei,,Huawei Display 02352BUE,Huawei,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-02352bue-138984996,"Panel part numbers: 02352BUE. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Huawei,self-only,structured-db,Huawei,Huawei,,Huawei Display 02352JEY,Huawei,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-02352jey-149635514,"Panel part numbers: 02352JEY. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Huawei,self-only,structured-db,Huawei,Huawei,,Huawei Display 02352NLQ,Huawei,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-02352nlq-138985058,"Panel part numbers: 02352NLQ. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Huawei,self-only,structured-db,Huawei,Huawei,,Huawei Display 02352PBT,Huawei,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-02352pbt-138985067,"Panel part numbers: 02352PBT. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Huawei,self-only,structured-db,Huawei,Huawei,,Huawei Display 02352PGE,Huawei,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-02352pge-138985070,"Panel part numbers: 02352PGE. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
