self_brand,compatibility_category,classification_basis,detected_brands,compatibility_brands,source_brands,title,product_brand,source_url,compatibility
LG,self-only,structured-db,LG,LG,,LG Display ABQ30103902,LG,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-abq30103902-136291317,"Panel part numbers: ABQ30103902. Compatible laptop models: LG Gram 16 (16T90Q-G), LG Gram 16 (16T90Q-K), LG Gram 16 2in1 (16T90Q). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
LG,self-only,structured-db,LG,LG,,LG Display ABQ30103903,LG,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-abq30103903-136291318,"Panel part numbers: ABQ30103903. Compatible laptop models: LG Gram 16 (16T90R-G). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
LG,self-only,structured-db,LG,LG,,LG Display COV30061301,LG,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-cov30061301-136291424,"Panel part numbers: COV30061301. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
LG,self-only,structured-db,LG,LG,,LG Display COV30083901,LG,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-cov30083901-141889218,"Panel part numbers: COV30083901. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
LG,self-only,structured-db,LG,LG,,LG Display COV30084001,LG,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-cov30084001-141889219,"Panel part numbers: COV30084001. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
LG,self-only,structured-db,LG,LG,,LG Display COV30084101,LG,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-cov30084101-141889220,"Panel part numbers: COV30084101. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
LG,self-only,structured-db,LG,LG,,LG Display COV30115501,LG,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-cov30115501-141889237,"Panel part numbers: COV30115501. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
LG,self-only,structured-db,LG,LG,,LG Display COV30117601,LG,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-cov30117601-141889238,"Panel part numbers: COV30117601. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
LG,self-only,structured-db,LG,LG,,LG Display COV30595201,LG,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-cov30595201-141889242,"Panel part numbers: COV30595201. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
LG,self-only,structured-db,LG,LG,,LG Display COV37100301,LG,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-cov37100301-141889247,"Panel part numbers: COV37100301. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
LG,self-only,structured-db,LG,LG,,LG Display COV37101001,LG,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-cov37101001-141889248,"Panel part numbers: COV37101001. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
LG,self-only,structured-db,LG,LG,,LG Display COV37355901,LG,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-cov37355901-141889254,"Panel part numbers: COV37355901. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
LG,self-only,structured-db,LG,LG,,LG Display COV37720901,LG,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-cov37720901-141889256,"Panel part numbers: COV37720901. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
LG,self-only,structured-db,LG,LG,,LG Display COV37825701,LG,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-cov37825701-141889259,"Panel part numbers: COV37825701. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
LG,self-only,structured-db,LG,LG,,LG Display COV37846601,LG,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-cov37846601-136291442,"Panel part numbers: COV37846601. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
LG,self-only,structured-db,LG,LG,,LG Display COV37849401,LG,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-cov37849401-141889260,"Panel part numbers: COV37849401. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
LG,self-only,structured-db,LG,LG,,LG Display COV37981801,LG,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-cov37981801-141889266,"Panel part numbers: COV37981801. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
