self_brand,compatibility_category,classification_basis,detected_brands,compatibility_brands,source_brands,title,product_brand,source_url,compatibility
Samsung,self-only,structured-db,Samsung,Samsung,,Samsung Display BA59-00799A,Samsung,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-ba59-00799a-23926472,"Panel part numbers: BA59-00799A. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Samsung,self-only,structured-db,Samsung,Samsung,,Samsung Display BA59-00809A,Samsung,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-ba59-00809a-23926473,"Panel part numbers: BA59-00809A. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Samsung,self-only,structured-db,Samsung,Samsung,,Samsung Display BA59-00910A,Samsung,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-ba59-00910a-23926503,"Panel part numbers: BA59-00910A. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Samsung,self-only,structured-db,Samsung,Samsung,,Samsung Display BA59-01237A,Samsung,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-ba59-01237a-43794385,"Panel part numbers: BA59-01237A. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Samsung,self-only,structured-db,Samsung,Samsung,,Samsung Display BA59-01248A,Samsung,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-ba59-01248a-23926668,"Panel part numbers: BA59-01248A. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Samsung,self-only,structured-db,Samsung,Samsung,,Samsung Display BA59-01283A,Samsung,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-ba59-01283a-23926679,"Panel part numbers: BA59-01283A. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Samsung,self-only,structured-db,Samsung,Samsung,,Samsung Display BA59-01355A,Samsung,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-ba59-01355a-23926742,"Panel part numbers: BA59-01355A. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Samsung,self-only,structured-db,Samsung,Samsung,,Samsung Display BA59-01630A,Samsung,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-ba59-01630a-23926866,"Panel part numbers: BA59-01630A. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Samsung,self-only,structured-db,Samsung,Samsung,,Samsung Display BA59-01719A,Samsung,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-ba59-01719a-23926921,"Panel part numbers: BA59-01719A. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Samsung,self-only,structured-db,Samsung,Samsung,,Samsung Display BA59-01788A,Samsung,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-ba59-01788a-11266572,"Panel part numbers: BA59-01788A. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Samsung,self-only,structured-db,Samsung,Samsung,,Samsung Display BA59-01880A,Samsung,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-ba59-01880a-43794386,"Panel part numbers: BA59-01880A. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Samsung,self-only,structured-db,Samsung,Samsung,,Samsung Display BA59-01922A,Samsung,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-ba59-01922a-23927012,"Panel part numbers: BA59-01922A. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Samsung,self-only,structured-db,Samsung,Samsung,,Samsung Display BA59-01940A,Samsung,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-ba59-01940a-23927027,"Panel part numbers: BA59-01940A. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Samsung,self-only,structured-db,Samsung,Samsung,,Samsung Display BA59-02059A,Samsung,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-ba59-02059a-43794388,"Panel part numbers: BA59-02059A. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Samsung,self-only,structured-db,Samsung,Samsung,,Samsung Display BA59-02105A,Samsung,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-ba59-02105a-23927127,"Panel part numbers: BA59-02105A. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Samsung,self-only,structured-db,Samsung,Samsung,,Samsung Display BA59-02148A,Samsung,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-ba59-02148a-23927145,"Panel part numbers: BA59-02148A. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Samsung,self-only,structured-db,Samsung,Samsung,,Samsung Display BA59-02162A,Samsung,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-ba59-02162a-23927152,"Panel part numbers: BA59-02162A. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Samsung,self-only,structured-db,Samsung,Samsung,,Samsung Display BA59-02243A,Samsung,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-ba59-02243a-23927157,"Panel part numbers: BA59-02243A. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Samsung,self-only,structured-db,Samsung,Samsung,,Samsung Display BA59-02415A,Samsung,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-ba59-02415a-23927339,"Panel part numbers: BA59-02415A. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Samsung,self-only,structured-db,Samsung,Samsung,,Samsung Display BA59-02503A,Samsung,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-ba59-02503a-23927470,"Panel part numbers: BA59-02503A. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
