self_brand,compatibility_category,detected_brands,title,product_brand,source_url,compatibility
Acer,self-only,Acer,Compatible Display 18010-15652800 15.6 in 1366x768 / HD 30-pin eDP,Acer,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18010-15652800-69578678,"Panel part numbers: 18010-15652800. Compatible laptop models: Acer Extensa 15 (EX215-52), Acer Aspire 5 (A515-56), Acer Aspire 1 (A115-22), Acer Aspire 5 (A515-44), Acer Aspire 5 (A515-52G), Acer Aspire 5 (A515-52), Acer Aspire 1 (A115-31), Acer Chromebook 315 (CB315-3H), Acer Aspire 3 (A315-56). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Acer,self-only,Acer,Compatible Display 18010-15656700 15.6 in 2560x1440 / QHD 40-pin eDP,Acer,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18010-15656700-107156365,"Panel part numbers: 18010-15656700, NE156QHM-NZ2 V8.0. Compatible laptop models: Acer Swift 3 (SF314-41G), Acer Swift 1 (SF114-33), Acer Enduro N3 (EN314-51W), Acer Chromebook 314 (CB314-3H), Acer Chromebook 314 (C922), Acer Aspire 3 (A314-23P), Acer Chromebook 314 (C934), Acer Swift 1 (SF114-32), Acer Swift 3 (SF314-56), Acer Swift 3 (SF314-56G). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Acer,self-only,Acer,Compatible Display 6M.KS8NE.001,Acer,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-6m.ks8ne.001-100774284,"Panel part numbers: 6M.KS8NE.001. Compatible laptop models: Acer Aspire Lite 14 (AL14-31P). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Acer,self-only,Acer,Compatible Display B116XAK01.0 3A 11.6 in 1366x768 / WXGA 40-pin eDP,Acer,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-b116xak01.0-3a-149223922,"Panel part numbers: B116XAK01.0 3A, B116XAK01.0. Compatible laptop models: Acer Chromebook 311 (CB311-9HT), Acer Chromebook 11 (C732T), Acer Chromebook 11 (C732L), Acer Chromebook 11 (C732LT), Acer ChromeBook 311 (C733T), Acer Chromebook 311 (C722T), Acer Chromebook 311 (CB311-11HT), Acer Chromebook 511 (C734), Acer Chromebook 511 (C741LT). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Acer,self-only,Acer,Compatible Display B120XAN01.0 12.1 in 1366x912 / HD+ 30-pin eDP,Acer,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-b120xan01.0-103291484,"Panel part numbers: B120XAN01.0, G23BALA4Z2ZZ-ZENL00. Compatible laptop models: Acer ChromeBook 712 (C871), Acer Chromebook 512 (C851), Acer Chromebook 512 (C852). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Acer,self-only,Acer,Compatible Display B140HAK02.5 14.0 in 1920x1080 / FHD 40-pin eDP,Acer,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-b140hak02.5-100779948,"Panel part numbers: B140HAK02.5. Compatible laptop models: Acer TravelMate P6 (P614-51T-G2), Acer Swift 5 (SF514-54GT), Acer TravelMate P6 (P614-51TG-G2), Acer TravelMate P6 (P614-51TG), Acer Swift 5 (SF514-54T). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Acer,self-only,Acer,Compatible Display B140HAN04.0 2A 14.0 in 1920x1080 / FHD 30-pin eDP,Acer,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-b140han04.0-2a-145180474,"Panel part numbers: B140HAN04.0 2A, B140HAN04.0 H/W:2A. Compatible laptop models: Acer Swift 3 (SF314-56), Acer Aspire 5 (A514-52), Acer TravelMate P4 (P414-51G), Acer Aspire 5 (A514-53G), Acer Chromebook 314 (C922), Acer TravelMate P6 (P614-51), Acer Aspire Vero 14 (AV14-52P), Acer TravelMate P6 (TMP614-51G), Acer Swift 3 (SF314-56G). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Acer,self-only,Acer,Compatible Display B140UAN03.0 14.0 in 1920x1200 / WUXGA 30-pin eDP,Acer,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-b140uan03.0-133132436,"Panel part numbers: B140UAN03.0, B140UAN03.0 H/W: 0A, B140UAN03.0 H/W:1A. Compatible laptop models: Acer Aspire 3 (A314-42P), Acer TravelMate P4 (TMP414-52), Acer Aspire 5 (A514-56GM), Acer TravelMate P2 (TMP214-55-TCO), Acer TravelMate P4 (TMP414-53), Acer Chromebook 514 (CB514-3HT), Acer Chromebook 514 (CB514-3H), Acer Aspire 5 (A514-56M), Acer Aspire 5 (A514-56P). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Acer,self-only,Acer,Compatible Display B156HTN06.1 H/W:1A F/W:1 15.6 in 1920x1080 / FHD 30-pin eDP,Acer,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-b156htn06.1-h-w-1a-f-w-1-69778533,"Panel part numbers: B156HTN06.1 H/W:1A F/W:1. Compatible laptop models: Acer Aspire 5 (A515-44G), Acer Aspire 3 (A315-56), Acer Aspire 5 (A515-54G), Acer Aspire 3 (A315-55KG), Acer Extensa 15 (EX215-22), Acer Nitro 5 (AN515-43), Acer Aspire 7 (A715-74G), Acer TravelMate P2 (TMP215-41-G2), Acer Aspire Vero 15 (AV15-52), Acer Aspire 3 (A315-59G). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Acer,self-only,Acer,Compatible Display B156ZAN03.1 15.6 in 3840x2160 / UHD 40-pin eDP,Acer,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-b156zan03.1-101798845,"Panel part numbers: B156ZAN03.1, B156ZAN03.1 (H/W:0B), B156ZAN03.1 H/W:0B, B156ZAN03.R, B156ZAN03.R (H/W:0A), B156ZAN03.R H/W:0A. Compatible laptop models: Acer ConceptD 7 Pro (CN715-71P), Acer Swift 3 (SF315-52G), Acer ConceptD 7 (CN715-72P), Acer ConceptD 7 (CN715-71), Acer ConceptD 5 (CN515-51), Acer ConceptD 7 Pro (CN715-72P), Acer ConceptD 5 Pro (CN515-71P), Acer ConceptD 5 (CN515-71), Acer Swift 3 (SF315-52). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
