self_brand,compatibility_category,detected_brands,title,product_brand,source_url,compatibility
Asus,self-only,Asus,Compatible Display 18002-13300400,Asus,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18002-13300400-140861844,"Panel part numbers: 18002-13300400. Compatible laptop models: Asus ZenBook UX301LA. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Asus,self-only,Asus,Compatible Display 18010 17340200 17.3 in 1920x1080 / FHD 40-pin eDP,Asus,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18010-17340200-99025780,"Panel part numbers: 18010 17340200. Compatible laptop models: Asus ROG Strix G17 G713RM, Asus ROG Strix Scar 17 SE G733CX, Asus G733ZM, Asus TUF Gaming A17 FA707XU, Asus ROG Strix G17 G713QR, Asus ROG Strix G17 G713RS, Asus ROG Strix Scar 17 G733ZM, Asus ROG Strix Scar 17 G733ZS, Asus ROG Strix Scar 17 G733ZW, Asus ROG Strix Scar 17 G733ZX. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Asus,self-only,Asus,Compatible Display 18010-03751500 23.8 in 1920x1080 / FHD 30-pin LVDS,Asus,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18010-03751500-149580369,"Panel part numbers: 18010-03751500, 18010-23832500. Compatible laptop models: Asus ExpertCenter P440. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Asus,self-only,Asus,Compatible Display 18010-10150900,Asus,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18010-10150900-140861845,"Panel part numbers: 18010-10150900. Compatible laptop models: Asus Transformer Book T100TA. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Asus,self-only,Asus,Compatible Display 18010-10151500,Asus,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18010-10151500-140861846,"Panel part numbers: 18010-10151500. Compatible laptop models: Asus Transformer Book T100TAF, Asus Transformer Book T100TAL, Asus Transformer Book T100TAM. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Asus,self-only,Asus,Compatible Display 18010-11600300,Asus,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18010-11600300-131918502,"Panel part numbers: 18010-11600300. Compatible laptop models: Asus R202MA, Asus VivoBook F200MA, Asus X200MA. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Asus,self-only,Asus,Compatible Display 18010-11600700,Asus,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18010-11600700-140861848,"Panel part numbers: 18010-11600700. Compatible laptop models: Asus R202MA, Asus VivoBook F200MA, Asus X200MA. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Asus,self-only,Asus,Compatible Display 18010-11601000,Asus,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18010-11601000-140861849,"Panel part numbers: 18010-11601000. Compatible laptop models: Asus Chromebook C200MA. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Asus,self-only,Asus,Compatible Display 18010-11601100,Asus,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18010-11601100-149137729,"Panel part numbers: 18010-11601100. Compatible laptop models: Asus Chromebook C201PA, Asus E202SA, Asus EeeBook E202SA, Asus EeeBook F205TA, Asus EeeBook X205TA, Asus L202SA. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Asus,self-only,Asus,Compatible Display 18010-11601200,Asus,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18010-11601200-131918504,"Panel part numbers: 18010-11601200. Compatible laptop models: Asus E200HA, Asus E202SA, Asus EeeBook E200HA, Asus EeeBook E202SA, Asus EeeBook X206HA, Asus L202SA, Asus R209HA, Asus VivoBook E200HA. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Asus,self-only,Asus,Compatible Display 18010-11601300,Asus,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18010-11601300-149137730,"Panel part numbers: 18010-11601300. Compatible laptop models: Asus BR1102CGA, Asus Chromebook C202XA, Asus E210MA, Asus VivoBook E201NA, Asus VivoBook E210KA, Asus VivoBook W202NA. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Asus,self-only,Asus,Compatible Display 18010-11610500,Asus,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18010-11610500-131918507,"Panel part numbers: 18010-11610500. Compatible laptop models: Asus E203NAH, Asus E205SA, Asus EeeBook E205SA, Asus Transformer Book Flip TP200SA, Asus VivoBook E12 E203NAH, Asus VivoBook E12 X207NAH. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Asus,self-only,Asus,Compatible Display 18010-11620200,Asus,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18010-11620200-140861850,"Panel part numbers: 18010-11620200. Compatible laptop models: Asus R202MA, Asus VivoBook F200MA, Asus X200MA. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Asus,self-only,Asus,Compatible Display 18010-11620700,Asus,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18010-11620700-140861851,"Panel part numbers: 18010-11620700. Compatible laptop models: Asus R202MA, Asus VivoBook F200MA, Asus X200MA. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Asus,self-only,Asus,Compatible Display 18010-11621100,Asus,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18010-11621100-131918508,"Panel part numbers: 18010-11621100. Compatible laptop models: Asus Chromebook C202SA, Asus Chromebook C202XA, Asus Chromebook C204MA, Asus Chromebook C223NA. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Asus,self-only,Asus,Compatible Display 18010-11621300,Asus,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18010-11621300-140861852,"Panel part numbers: 18010-11621300. Compatible laptop models: Asus Chromebook C200MA, Asus R202MA, Asus VivoBook F200MA, Asus X200MA. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Asus,self-only,Asus,Compatible Display 18010-11621400,Asus,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18010-11621400-140861853,"Panel part numbers: 18010-11621400. Compatible laptop models: Asus R202MA, Asus VivoBook F200MA, Asus X200MA. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Asus,self-only,Asus,Compatible Display 18010-11621600,Asus,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18010-11621600-140861854,"Panel part numbers: 18010-11621600. Compatible laptop models: Asus R202MA, Asus VivoBook F200MA, Asus X200MA. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Asus,self-only,Asus,Compatible Display 18010-11621700,Asus,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18010-11621700-140861855,"Panel part numbers: 18010-11621700. Compatible laptop models: Asus EeeBook F205TA, Asus EeeBook X205TA. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Asus,self-only,Asus,Compatible Display 18010-11621800,Asus,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18010-11621800-140861856,"Panel part numbers: 18010-11621800. Compatible laptop models: Asus R202MA, Asus VivoBook F200MA, Asus X200MA. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Asus,self-only,Asus,Compatible Display 18010-11621900,Asus,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18010-11621900-140861857,"Panel part numbers: 18010-11621900. Compatible laptop models: Asus Chromebook C201PA. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Asus,self-only,Asus,Compatible Display 18010-11622000,Asus,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18010-11622000-131918509,"Panel part numbers: 18010-11622000. Compatible laptop models: Asus Chromebook C201PA, Asus E203MAH, Asus E203NA, Asus E203NAH, Asus R203MA, Asus VivoBook E12 E203NA, Asus VivoBook E12 E203NAH, Asus VivoBook E12 X207NA, Asus VivoBook E12 X207NAH, Asus VivoBook E203MA. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Asus,self-only,Asus,Compatible Display 18010-11622300,Asus,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18010-11622300-131918510,"Panel part numbers: 18010-11622300. Compatible laptop models: Asus Chromebook CR1 CR1100CKA, Asus Chromebook CX1 CX1100CNA, Asus ExpertBook BR1100CKA. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Asus,self-only,Asus,Compatible Display 18010-11622500,Asus,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18010-11622500-131918511,"Panel part numbers: 18010-11622500. Compatible laptop models: Asus Chromebook CR11 CR1102CGA, Asus Chromebook CX1 CX1102CKA, Asus CR1102CGA, Asus CX1102CKA. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Asus,self-only,Asus,Compatible Display 18010-11622600,Asus,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18010-11622600-149137731,"Panel part numbers: 18010-11622600. Compatible laptop models: Asus BR1102CGA, Asus BR1104CGA, Asus BR1104CTA, Asus Chromebook CR1104CGA, Asus Chromebook CR1104CTA, Asus Chromebook CZ1104CM2A, Asus E210MA, Asus VivoBook E210KA. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Asus,self-only,Asus,Compatible Display 18010-11630500,Asus,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18010-11630500-131918513,"Panel part numbers: 18010-11630500. Compatible laptop models: Asus Chromebook CR1 CR1100CKA, Asus Chromebook CX1 CX1101CMA, Asus Chromebook CX1 CX1102CKA, Asus CX1102CKA, Asus R203MA, Asus VivoBook E203MA. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Asus,self-only,Asus,Compatible Display 18010-116800RR,Asus,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18010-116800rr-131918514,"Panel part numbers: 18010-116800RR. Compatible laptop models: Asus ExpertBook BR1100CKA. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Asus,self-only,Asus,Compatible Display 18010-12210000,Asus,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18010-12210000-131918515,"Panel part numbers: 18010-12210000. Compatible laptop models: Asus BR1204CGA, Asus BR1204CTA, Asus Chromebook CR1204CGA, Asus Chromebook CR1204CTA, Asus Chromebook CZ1204CM2A. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Asus,self-only,Asus,Compatible Display 18010-12510100,Asus,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18010-12510100-140861859,"Panel part numbers: 18010-12510100. Compatible laptop models: Asus Pro Advanced BU201LA. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Asus,self-only,Asus,Compatible Display 18010-12530100,Asus,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18010-12530100-140861860,"Panel part numbers: 18010-12530100. Compatible laptop models: Asus Transformer Book T300FA. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Asus,self-only,Asus,Compatible Display 18010-12540200,Asus,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18010-12540200-140861861,"Panel part numbers: 18010-12540200. Compatible laptop models: Asus Chromebook Flip C302CA, Asus Pro Advanced B8230UA, Asus Pro Advanced BU203UA, Asus Pro P5240UA, Asus Pro P5240UF. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Asus,self-only,Asus,Compatible Display 18010-13300500,Asus,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18010-13300500-140861862,"Panel part numbers: 18010-13300500. Compatible laptop models: Asus Pro Essential PU301LA. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Asus,self-only,Asus,Compatible Display 18010-13300600,Asus,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18010-13300600-140861863,"Panel part numbers: 18010-13300600. Compatible laptop models: Asus ZenBook UX305CA, Asus ZenBook UX305FA, Asus ZenBook UX305LA. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Asus,self-only,Asus,Compatible Display 18010-13300900,Asus,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18010-13300900-131918516,"Panel part numbers: 18010-13300900. Compatible laptop models: Asus ZenBook UX310UA, Asus ZenBook UX310UQ, Asus ZenBook UX330UA. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Asus,self-only,Asus,Compatible Display 18010-13301500,Asus,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18010-13301500-131918517,"Panel part numbers: 18010-13301500. Compatible laptop models: Asus ExpertBook P5 P5340FA, Asus ExpertBook P5 P5340FF, Asus ExpertBook P5 P5340UA, Asus ExpertBook P5 P5340UF, Asus ZenBook 13 UX331FA, Asus ZenBook 13 UX331FAL, Asus ZenBook 13 UX331UA, Asus ZenBook 13 UX331UAL, Asus ZenBook 13 UX331UN, Asus ZenBook S UX391UA. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Asus,self-only,Asus,Compatible Display 18010-13301800 13.3 in 1920x1080 / FHD 30-pin eDP,Asus,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-18010-13301800-101902766,"Panel part numbers: 18010-13301800. Compatible laptop models: Asus ZenBook 13 UX333FA, Asus ZenBook 13 UX333FN, Asus ZenBook 13 UX333FLC, Asus ZenBook 13 UX334FL, Asus ZenBook 13 UX334FLC, Asus ZenBook 13 UX334FA. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
