self_brand,compatibility_category,detected_brands,title,product_brand,source_url,compatibility
Dell,self-only,Dell,"BLACK - Dell OEM Inspiron 14R (5421 / 5437) / 14 (3421 / 3437) 14"" TouchScreen LCD Display Complete Assembly - P31PF",Dell,https://www.parts-people.com/index.php?action=item&id=17547,"Dell LCD screen part number: P31PF. Dell part numbers: P31PF, 0P31PF. Screen size: 14"". Touch: Touchscreen. Match laptop model, Dell DP/N, panel part number, touch support, connector pins and assembly style before ordering."
Dell,self-only,Dell,"BLACK - Dell OEM Latitude 2100 10.1"" Touchscreen LCD Display Complete Assembly - No Cam",Dell,https://www.parts-people.com/index.php?action=item&id=15126,"Dell LCD screen part number: BLK2100. Dell part numbers: BLK2100. Screen size: 10.1"". Touch: Touchscreen. Match laptop model, Dell DP/N, panel part number, touch support, connector pins and assembly style before ordering."
Dell,self-only,Dell,"Black - Dell OEM Latitude 2100 2110 2120 LCD Screen Display 10.1"" Complete Assembly - No Web Camera",Dell,https://www.parts-people.com/index.php?action=item&id=14632,"Dell LCD screen part number: 2100LCDBLK. Dell part numbers: 2100LCDBLK. Screen size: 10.1"". Resolution: WSVGA (1024 x 600). Match laptop model, Dell DP/N, panel part number, touch support, connector pins and assembly style before ordering."
Dell,self-only,Dell,Compatible Display 0HRN6M 15.6 in 1366x768 / HD 30-pin eDP,Dell,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-0hrn6m-141888534,"Panel part numbers: 0HRN6M, HRN6M, 0W00TF, OW00TF, W00TF. Compatible laptop models: Dell Latitude 15 (3500), Dell Precision 15 (3520), Dell Latitude 15 (5580), Dell Latitude 15 (5590), Dell Latitude 15 (3590), Dell Precision 15 (3530), Dell Inspiron 15 (5583), Dell Inspiron 15 (3580), Dell Inspiron 15 (3581), Dell Inspiron 15 (3582). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Dell,self-only,Dell,Compatible Display 7115H 15.6 in 1366x768 / HD 30-pin eDP,Dell,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-7115h-150676500,"Panel part numbers: 7115H, 07115H, O7115H. Compatible laptop models: Dell Inspiron 15 (3585), Dell Precision 15 (3520), Dell Latitude 15 (5580), Dell Latitude 15 (5590), Dell Latitude 15 (3590), Dell Precision 15 (3530), Dell Inspiron 15 (5583), Dell Inspiron 15 (3580), Dell Inspiron 15 (3581), Dell Inspiron 15 (3582). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Dell,self-only,Dell,Compatible Display CPL-HRN6M 15.6 in 1366x768 / HD 30-pin eDP,Dell,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-cpl-hrn6m-141889277,"Panel part numbers: CPL-HRN6M. Compatible laptop models: Dell Precision 15 (3520), Dell Inspiron 15 (3580), Dell Vostro 15 (3583), Dell Inspiron 15 (3593), Dell Latitude 15 (5580), Dell Latitude 15 (5590), Dell Latitude 15 (3590), Dell Precision 15 (3530), Dell Inspiron 15 (5583). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Dell,self-only,Dell,"Dell OEM Alienware Area-51m 17.3"" FHD LCD Screen Display Complete Assembly - 18BN7",Dell,https://www.parts-people.com/index.php?action=item&id=34237,"Dell LCD screen part number: 18BN7. Dell part numbers: 18BN7, 018BN7. Screen size: 17.3"". Resolution: FHD 1920 x 1080 pixels. Match laptop model, Dell DP/N, panel part number, touch support, connector pins and assembly style before ordering."
Dell,self-only,Dell,"Dell OEM Alienware Area-51m R2 17.3"" FHD LCD Screen Display Complete Assembly 144Hz - Tobii Eye - F9G7P",Dell,https://www.parts-people.com/index.php?action=item&id=42520,"Dell LCD screen part number: F9G7P. Dell part numbers: F9G7P, 0F9G7P. Screen size: 17.3"". Resolution: FHD. Match laptop model, Dell DP/N, panel part number, touch support, connector pins and assembly style before ordering."
Dell,self-only,Dell,"Dell OEM Alienware m15 15.6"" FHD LCD Screen Display Complete Assembly - Red - THNFX",Dell,https://www.parts-people.com/index.php?action=item&id=32708,"Dell LCD screen part number: THNFX. Dell part numbers: THNFX, 0THNFX. Screen size: 15.6"". Resolution: FHD. Match laptop model, Dell DP/N, panel part number, touch support, connector pins and assembly style before ordering."
Dell,self-only,Dell,"Dell OEM Alienware m15 15.6"" FHD LCD Screen Display Complete Assembly - Silver - 6JCWN",Dell,https://www.parts-people.com/index.php?action=item&id=32728,"Dell LCD screen part number: 6JCWN. Dell part numbers: 6JCWN, 06JCWN. Screen size: 15.6"". Resolution: FHD. Match laptop model, Dell DP/N, panel part number, touch support, connector pins and assembly style before ordering."
Dell,self-only,Dell,"Dell OEM Alienware m15 15.6"" FHD LCD Screen Display Complete Assembly - Silver - P77FN",Dell,https://www.parts-people.com/index.php?action=item&id=32803,"Dell LCD screen part number: P77FN. Dell part numbers: P77FN, 0P77FN. Screen size: 15.6"". Resolution: FHD. Match laptop model, Dell DP/N, panel part number, touch support, connector pins and assembly style before ordering."
Dell,self-only,Dell,"Dell OEM Chromebook 11 (3180) 11.6"" WXGAHD LCD LED Widescreen Matte - 836X2",Dell,https://www.parts-people.com/index.php?action=item&id=35713,"Dell LCD screen part number: 836X2. Dell part numbers: 836X2. Panel/manufacturer part numbers: NT 11 6WHM-N21. Compatible Dell models: -Latitude 3140, -Chromebook 11, 11 (3120), 11 (3180), 11 (5190), 3100, -Inspiron 11 (3162), 11 (3164), 11 (3180), -Latitude 3180, 3190, 3120. Screen size: 11.6"". Resolution: WXGA HD (1366 X 768) Matte Finish. Touch: Non-touch. Match laptop model, Dell DP/N, panel part number, touch support, connector pins and assembly style before ordering."
Dell,self-only,Dell,"Dell OEM Chromebook 11 (5190) 2-in-1 11.6"" Touchscreen WXGAHD LCD LED Widescreen - EMR - HCW77",Dell,https://www.parts-people.com/index.php?action=item&id=27862,"Dell LCD screen part number: HCW77. Dell part numbers: HCW77. Screen size: 11.6"". Resolution: WXGAHD (1366 x 768). Touch: Touchscreen. Match laptop model, Dell DP/N, panel part number, touch support, connector pins and assembly style before ordering."
Dell,self-only,Dell,"Dell OEM Chromebook 11 (5190) 2-in-1 11.6"" Touchscreen WXGAHD LCD LED Widescreen - No EMR - P2FCT",Dell,https://www.parts-people.com/index.php?action=item&id=27860,"Dell LCD screen part number: P2FCT. Dell part numbers: P2FCT. Screen size: 11.6"". Resolution: WXGAHD (1366 x 768). Touch: Touchscreen. Match laptop model, Dell DP/N, panel part number, touch support, connector pins and assembly style before ordering."
Dell,self-only,Dell,"Dell OEM Chromebook 11 / Inspiron 11 (3162) 11.6"" WXGAHD LCD LED Widescreen Matte - TCP4G",Dell,https://www.parts-people.com/index.php?action=item&id=18511,"Dell LCD screen part number: TCP4G. Dell part numbers: TCP4G. Panel/manufacturer part numbers: N 11 6BGE -EA2. Compatible Dell models: -Latitude 3190, -Inspiron 3180, -Latitude 3160, -Latitude 3180, -Latitude 3150, -Chromebook 11, -Chromebook 11 (3120), -Chromebook 11 (3180), -Inspiron 11 (3162), -Inspiron 11 (3164). Screen size: 11.6"". Resolution: WXGA HD (1366 X 768) Matte Finish. Match laptop model, Dell DP/N, panel part number, touch support, connector pins and assembly style before ordering."
