self_brand,compatibility_category,detected_brands,title,product_brand,source_url,compatibility
Lenovo,self-only,Lenovo,Compatible Display 00HM066 15.6 in 1366x768 / HD 30-pin eDP,Lenovo,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-00hm066-78914943,"Panel part numbers: 00HM066, 00HT623, 04X0441, 04X4849, 18201047, 18201587, 18201588. Compatible laptop models: Lenovo ThinkPad L570 (20J8/20J9), Lenovo IdeaPad 330-15ICN (81EY), Lenovo IdeaPad 520-15IKB (80YL/81BF), Lenovo V110-15IKB (80TH), Lenovo G50-70 (80DY), Lenovo IdeaPad Flex 2-15D (594x), Lenovo IdeaPad 500-15ISK (80NT), Lenovo E50-80 (80J2), Lenovo Z50-70 (80E7). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Lenovo,self-only,Lenovo,Compatible Display 00HM081 14.0 in 1366x768 / HD 30-pin eDP,Lenovo,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-00hm081-132965838,"Panel part numbers: 00HM081, 00UP059, 00UP060, 00UP062, 00HT943, 00HT952, 02DA364. Compatible laptop models: Lenovo IdeaPad S435 (80JG), Lenovo ThinkPad T470 (20HD/20HE), Lenovo ThinkPad T460 (20FN/20FM), Lenovo ThinkPad L440, Lenovo IdeaPad 100-14IBY (80MH/80R7), Lenovo IdeaPad 110-14AST (80TQ), Lenovo E40-70 (80EQ), Lenovo B40-30 (80F1), Lenovo IdeaPad Flex 2-14 (594x/80FJ), Lenovo IdeaPad 320-14ISK (80XG). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Lenovo,self-only,Lenovo,Compatible Display 00HN820,Lenovo,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-00hn820-145200949,"Panel part numbers: 00HN820. Compatible laptop models: Lenovo ThinkPad X1 Carbon 3rd Gen (20BS/20BT). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Lenovo,self-only,Lenovo,Compatible Display 00HN839,Lenovo,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-00hn839-145200954,"Panel part numbers: 00HN839. Compatible laptop models: Lenovo ThinkPad X240 (20AL), Lenovo ThinkPad X240 (20AM), Lenovo ThinkPad X240s (20AK/20AJ), Lenovo ThinkPad X250 (20CL/20CM), Lenovo ThinkPad X260 (20F5/20F6), Lenovo ThinkPad X270 (20HN/20HM), Lenovo ThinkPad X270 (20K6/20K5). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Lenovo,self-only,Lenovo,Compatible Display 00HN856,Lenovo,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-00hn856-114121841,"Panel part numbers: 00HN856. Compatible laptop models: Lenovo ThinkPad X240 (20AL), Lenovo ThinkPad X240 (20AM), Lenovo ThinkPad X240s (20AK/20AJ), Lenovo ThinkPad X250 (20CL/20CM), Lenovo ThinkPad X260 (20F5/20F6), Lenovo ThinkPad X270 (20HN/20HM), Lenovo ThinkPad X270 (20K6/20K5). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Lenovo,self-only,Lenovo,Compatible Display 00HN877 14.0 in 2560x1440 / WQHD 40-pin LVDS,Lenovo,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-00hn877-37802405,"Panel part numbers: 00HN877, 00HN826. Compatible laptop models: Lenovo ThinkPad T460s (20FA/20F9), Lenovo ThinkPad T460p (20FW/20FX), Lenovo ThinkPad X1 Carbon 4th Gen (20FC/20FB), Lenovo ThinkPad T470s (20HF/20HG/20JS/20JT), Lenovo ThinkPad T470p (20J6/20J7). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Lenovo,self-only,Lenovo,Compatible Display 00HN883,Lenovo,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-00hn883-145200963,"Panel part numbers: 00HN883. Compatible laptop models: Lenovo ThinkPad A275 (20KC/20KD), Lenovo ThinkPad A285 (20MW/20MX), Lenovo ThinkPad X260 (20F5/20F6), Lenovo ThinkPad X270 (20HN/20HM), Lenovo ThinkPad X270 (20K6/20K5), Lenovo ThinkPad X280 (20KF/20KE). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Lenovo,self-only,Lenovo,Compatible Display 00HN887,Lenovo,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-00hn887-145200965,"Panel part numbers: 00HN887. Compatible laptop models: Lenovo ThinkPad P70 (20ES/20ER), Lenovo ThinkPad P71 (20HK/20HL). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Lenovo,self-only,Lenovo,Compatible Display 00HN889,Lenovo,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-00hn889-145200966,"Panel part numbers: 00HN889. Compatible laptop models: Lenovo ThinkPad A275 (20KC/20KD), Lenovo ThinkPad A285 (20MW/20MX), Lenovo ThinkPad X230s, Lenovo ThinkPad X240 (20AL), Lenovo ThinkPad X240 (20AM), Lenovo ThinkPad X240s (20AK/20AJ), Lenovo ThinkPad X250 (20CL/20CM), Lenovo ThinkPad X260 (20F5/20F6), Lenovo ThinkPad X270 (20HN/20HM), Lenovo ThinkPad X270 (20K6/20K5). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Lenovo,self-only,Lenovo,Compatible Display 00HN898 14.0 in 1920x1080 / 0 30-pin eDP,Lenovo,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-00hn898-113967704,"Panel part numbers: 00HN898. Compatible laptop models: Lenovo ThinkPad T460 (20FN/20FM), Lenovo ThinkPad T460s (20FA/20F9). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Lenovo,self-only,Lenovo,Compatible Display 00NY403,Lenovo,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-00ny403-145201419,"Panel part numbers: 00NY403. Compatible laptop models: Lenovo ThinkPad A275 (20KC/20KD), Lenovo ThinkPad A285 (20MW/20MX), Lenovo ThinkPad X230s, Lenovo ThinkPad X240 (20AL), Lenovo ThinkPad X240 (20AM), Lenovo ThinkPad X240s (20AK/20AJ), Lenovo ThinkPad X250 (20CL/20CM), Lenovo ThinkPad X260 (20F5/20F6), Lenovo ThinkPad X270 (20HN/20HM), Lenovo ThinkPad X270 (20K6/20K5). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Lenovo,self-only,Lenovo,Compatible Display 00NY406 14.0 in 2560x1440 / WQHD 40-pin LVDS,Lenovo,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-00ny406-37802411,"Panel part numbers: 00NY406. Compatible laptop models: Lenovo ThinkPad T460p (20FW/20FX), Lenovo ThinkPad T460s (20FA/20F9), Lenovo ThinkPad X1 Carbon 4th Gen (20FC/20FB), Lenovo ThinkPad T470s (20HF/20HG/20JS/20JT), Lenovo ThinkPad T470p (20J6/20J7). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Lenovo,self-only,Lenovo,Compatible Display 00NY409 14.0 in 1920x1080 / 0 30-pin eDP,Lenovo,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-00ny409-113967706,"Panel part numbers: 00NY409. Compatible laptop models: Lenovo ThinkPad T460 (20FN/20FM), Lenovo ThinkPad T460s (20FA/20F9). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Lenovo,self-only,Lenovo,Compatible Display 00NY413 14.0 in 2560x1440 / WQHD 40-pin LVDS,Lenovo,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-00ny413-37802413,"Panel part numbers: 00NY413, 00HN878, 00NY440, 01HW908. Compatible laptop models: Lenovo ThinkPad T470p (20J6/20J7), Lenovo ThinkPad T460p (20FW/20FX), Lenovo ThinkPad T460s (20FA/20F9), Lenovo ThinkPad X1 Carbon 4th Gen (20FC/20FB), Lenovo ThinkPad T470s (20HF/20HG/20JS/20JT). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
