self_brand,compatibility_category,detected_brands,title,product_brand,source_url,compatibility
Medion,self-only,Medion,Compatible Display 40033670,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-40033670-141282777,"Panel part numbers: 40033670. Compatible laptop models: Medion Akoya E1229 (H90K), Medion Akoya E1230. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Medion,self-only,Medion,Compatible Display 40033676,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-40033676-141282778,"Panel part numbers: 40033676. Compatible laptop models: Medion Erazer X7813 (MS-1761), Medion Erazer X7817 (MS-1762), Medion Erazer X7819 (MS-1762). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Medion,self-only,Medion,Compatible Display 40033879,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-40033879-141282780,"Panel part numbers: 40033879. Compatible laptop models: Medion Akoya E1226, Medion Akoya E1230. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Medion,self-only,Medion,Compatible Display 40033891,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-40033891-141282781,"Panel part numbers: 40033891. Compatible laptop models: Medion Akoya E1229 (H90K). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Medion,self-only,Medion,Compatible Display 40037818,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-40037818-141282824,"Panel part numbers: 40037818. Compatible laptop models: Medion Erazer X6819 (MS-16F2). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Medion,self-only,Medion,Compatible Display 40038012,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-40038012-141282832,"Panel part numbers: 40038012. Compatible laptop models: Medion Erazer X7813 (MS-1761). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Medion,self-only,Medion,Compatible Display 40042495,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-40042495-141282885,"Panel part numbers: 40042495. Compatible laptop models: Medion Erazer X6823 (MS-16F3). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Medion,self-only,Medion,Compatible Display 40045954,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-40045954-141282929,"Panel part numbers: 40045954. Compatible laptop models: Medion Akoya E1318T. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Medion,self-only,Medion,Compatible Display 40047173,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-40047173-103992074,"Panel part numbers: 40047173. Compatible laptop models: Medion Akoya P6647 (C15BV-N). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Medion,self-only,Medion,Compatible Display 40047174,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-40047174-141282947,"Panel part numbers: 40047174. Compatible laptop models: Medion Akoya S6212T (US55II1). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Medion,self-only,Medion,Compatible Display 40049112,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-40049112-141282983,"Panel part numbers: 40049112. Compatible laptop models: Medion Akoya E1231T, Medion Akoya E1232T. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Medion,self-only,Medion,Compatible Display 40049369,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-40049369-141282988,"Panel part numbers: 40049369. Compatible laptop models: Medion Akoya S6213T, Medion Akoya S6214T (T15M), Pegatron T15M. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Medion,self-only,Medion,Compatible Display 40049814,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-40049814-141282994,"Panel part numbers: 40049814. Compatible laptop models: Medion Akoya E6239, Medion Akoya E6239T, Medion Akoya E6240T. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
